ID,Customer ID,Product ID,Sales Date
1,JRH55SCD2OT,O2,18-Sep-21
2,BIL62HCX4GK,O10,14-Mar-21
3,LDF53SWL8IN,O10,25-May-21
4,JRH55SCD2OT,O5,14-Jul-21
5,KRM53ULI8DR,O10,17-Dec-21
6,JPN24YLI0FT,O10,25-May-21
7,UUP71YBB4NS,O4,8-Sep-21
8,JRH55SCD2OT,O7,7-Oct-21
9,UFR30WOW1VZ,O1,4-May-22
10,OVI54TVT0BW,O3,30-Apr-22
11,RXR78PQK5HZ,O4,31-Jan-22
12,OGH82YCK9GO,O6,7-Sep-22
13,ETR33ITW6RH,O7,4-Jul-22
14,VXD87QBJ5SX,O8,1-Sep-22
15,TTB74BSL2XY,O9,6-Jun-22
16,GFI13JLN5PM,O10,30-Jun-22
17,JRH55SCD2OT,O10,8-Oct-22
